f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
7.671594e-05	4.186136e-01	2.331574e-01	1.606820e+00	1.070677e+00	1.730238e+00	1.151960e+00	9.952119e-01	
8.148025e-05	3.475359e-01	2.814974e-01	1.230833e+00	9.636664e-01	1.567179e+00	1.188865e+00	8.071598e-01	
9.975435e-05	4.316864e-01	2.305704e-01	1.448144e+00	1.129111e+00	1.583761e+00	1.197307e+00	9.773164e-01	
1.197618e-04	4.130686e-01	2.359175e-01	1.391582e+00	1.233885e+00	1.751120e+00	1.494709e+00	8.347671e-01	
1.308925e-04	4.054668e-01	2.606477e-01	1.399570e+00	1.025254e+00	1.483242e+00	1.004747e+00	9.411427e-01	
1.420757e-04	4.506976e-01	2.504908e-01	1.424320e+00	9.479836e-01	1.392537e+00	8.779616e-01	9.212711e-01	
1.431936e-04	4.157421e-01	2.619266e-01	1.642246e+00	1.149784e+00	1.565865e+00	1.042048e+00	1.016379e+00	
1.438614e-04	3.349470e-01	2.823803e-01	1.280072e+00	1.040611e+00	1.460725e+00	1.118101e+00	9.701753e-01	
1.478597e-04	4.084738e-01	2.452136e-01	1.509628e+00	1.260445e+00	1.809762e+00	1.415111e+00	8.943170e-01	
1.559647e-04	4.082199e-01	2.662200e-01	1.472468e+00	1.048871e+00	1.562894e+00	1.020964e+00	9.067369e-01	
1.603936e-04	4.355193e-01	2.287269e-01	1.431525e+00	1.398659e+00	1.685242e+00	1.547070e+00	9.082967e-01	
1.667073e-04	4.088907e-01	2.386317e-01	1.183282e+00	1.174431e+00	1.450824e+00	1.391351e+00	8.885477e-01	
1.712614e-04	4.018856e-01	2.488918e-01	1.490827e+00	8.886349e-01	1.610137e+00	9.632325e-01	9.533796e-01	
1.846599e-04	3.699429e-01	2.542336e-01	1.395697e+00	1.249640e+00	1.709077e+00	1.521548e+00	9.319715e-01	
2.165228e-04	4.240673e-01	2.420682e-01	1.520449e+00	1.091790e+00	1.874847e+00	1.242755e+00	8.546527e-01	
2.244015e-04	4.077080e-01	2.422062e-01	1.277684e+00	1.465192e+00	1.498083e+00	1.755619e+00	8.473013e-01	
2.385254e-04	3.994282e-01	2.444868e-01	1.454672e+00	1.006216e+00	1.573377e+00	1.045792e+00	9.473444e-01	
2.400786e-04	4.204011e-01	2.515090e-01	1.091761e+00	9.075428e-01	1.541291e+00	1.183123e+00	6.678204e-01	
2.500901e-04	4.298362e-01	2.470072e-01	1.500942e+00	1.180327e+00	1.615644e+00	1.287563e+00	9.069403e-01	
2.520210e-04	4.513137e-01	2.450279e-01	1.464195e+00	7.264261e-01	1.361196e+00	6.397781e-01	9.988020e-01	
2.675227e-04	4.655150e-01	2.186015e-01	1.493232e+00	1.030425e+00	1.355834e+00	8.900535e-01	1.079365e+00	
2.841180e-04	3.808834e-01	2.612918e-01	1.661750e+00	9.201353e-01	1.677461e+00	9.338781e-01	1.043731e+00	
2.959398e-04	4.780487e-01	1.885810e-01	1.331169e+00	1.160427e+00	1.485502e+00	1.234724e+00	1.031683e+00	
2.993662e-04	4.208866e-01	2.511393e-01	1.501711e+00	1.259166e+00	1.551492e+00	1.351120e+00	9.374860e-01	
3.044954e-04	3.805176e-01	2.616275e-01	1.643768e+00	9.897907e-01	1.728126e+00	9.836410e-01	9.577794e-01	
3.248890e-04	4.491449e-01	2.368875e-01	1.535640e+00	1.143403e+00	1.739888e+00	1.222924e+00	8.978004e-01	
3.250964e-04	3.847480e-01	2.377626e-01	1.226147e+00	9.032298e-01	1.411953e+00	1.061661e+00	9.992205e-01	
3.418074e-04	3.938787e-01	2.451730e-01	1.750873e+00	1.137509e+00	1.652226e+00	1.104758e+00	1.163603e+00	
3.478828e-04	4.512901e-01	2.407950e-01	1.610564e+00	1.271363e+00	1.718514e+00	1.225244e+00	8.989492e-01	
4.616851e-04	4.086546e-01	2.764862e-01	1.029021e+00	8.819341e-01	1.396864e+00	1.233457e+00	6.407420e-01	
4.706719e-04	4.068946e-01	2.103012e-01	1.818481e+00	1.120326e+00	1.839012e+00	1.125118e+00	1.179797e+00	
4.798708e-04	5.282320e-01	2.102384e-01	1.323303e+00	1.202643e+00	1.562204e+00	1.267865e+00	7.931043e-01	
4.952908e-04	4.328317e-01	2.375574e-01	1.611147e+00	9.849064e-01	1.494111e+00	9.485264e-01	1.079486e+00	
7.272479e-04	3.957271e-01	2.527600e-01	1.213025e+00	7.809937e-01	1.488261e+00	9.622183e-01	8.628631e-01	
