f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	x(8)	x(9)	
1.190915e+01	2.527321e+00	3.150299e-01	8.643614e+00	9.126413e+00	8.751433e+00	6.233691e+00	4.282941e+00	1.705602e+00	5.645075e+00	
1.540454e+01	9.671005e+00	3.181008e+00	5.964976e+00	4.256183e+00	5.592401e+00	6.777451e+00	1.918053e+00	1.681918e-01	4.864969e+00	
1.561693e+01	4.544951e+00	5.381652e+00	8.633438e+00	4.668821e+00	5.901319e+00	4.960231e+00	3.597071e+00	1.001783e-01	4.901520e+00	
1.953708e+01	5.558354e+00	1.610745e-01	3.711551e+00	2.461602e+00	5.750592e+00	5.567625e+00	1.114367e+00	4.240099e+00	4.940811e+00	
3.344336e+01	7.798505e+00	2.824465e+00	3.741066e+00	5.611707e+00	5.788440e+00	6.965102e+00	4.636260e+00	1.233785e-01	2.179222e+00	
5.233877e+01	3.824733e+00	1.325143e-01	6.866173e+00	6.203395e+00	9.712469e+00	6.730820e+00	6.977837e+00	7.251171e+00	4.956696e+00	
7.972395e+01	4.798026e+00	1.470698e+00	1.913738e+00	3.654127e+00	5.730341e+00	6.214921e+00	2.336474e+00	1.241489e+00	7.282014e+00	
8.275335e+01	1.762939e+00	1.940456e+00	6.893435e+00	2.914160e+00	9.589688e+00	8.151578e+00	1.829517e+00	3.828226e-01	2.453934e+00	
8.860354e+01	9.893595e+00	2.838078e+00	5.742573e+00	4.340087e+00	5.335740e+00	7.205450e+00	1.342232e+00	6.043357e-01	5.421976e+00	
1.202222e+02	2.670273e+00	5.707982e-01	4.921928e+00	4.644023e+00	3.417561e+00	4.406762e+00	4.708778e+00	5.842182e+00	4.472465e+00	
1.418319e+02	5.229396e+00	2.253153e+00	6.090828e+00	1.015056e+00	7.064555e+00	5.655674e+00	2.067033e+00	1.486076e+00	5.608200e+00	
2.117534e+02	3.688379e+00	2.544725e+00	7.756662e+00	6.146734e+00	4.511260e+00	4.552678e+00	5.937035e+00	2.193934e+00	6.394627e+00	
2.608402e+02	1.458596e+00	2.843553e+00	7.148268e+00	2.081655e+00	6.132505e+00	6.707442e+00	4.491171e+00	1.550349e+00	5.495991e+00	
4.172537e+02	5.769087e+00	4.310831e+00	7.594773e+00	5.467382e+00	6.132714e+00	3.796718e+00	3.302732e+00	1.201178e+00	3.517909e+00	
4.549805e+02	7.619308e+00	5.304297e+00	2.498466e+00	2.773719e+00	5.850999e+00	4.990167e+00	1.776772e+00	7.838930e-01	5.897605e+00	
5.429407e+02	5.353711e+00	4.722238e+00	6.666468e+00	4.386220e+00	2.536167e+00	6.409558e+00	6.654807e+00	1.638160e+00	3.238191e+00	
5.656588e+02	3.676626e+00	7.083241e+00	8.484896e+00	3.356356e+00	4.169998e+00	3.668465e+00	2.897785e+00	1.155377e+00	3.951235e+00	
8.558965e+02	6.068059e+00	3.238971e+00	2.744746e+00	2.804530e+00	5.700191e+00	2.197460e-01	1.521143e+00	1.865610e+00	6.354757e+00	
9.940722e+02	8.248431e+00	5.259914e+00	3.516641e+00	5.426870e+00	6.006519e+00	3.989388e+00	5.645173e+00	1.318435e+00	6.066843e+00	
1.150007e+03	8.663717e+00	4.171997e+00	3.184356e+00	3.763214e+00	6.684996e+00	4.176753e+00	2.254638e+00	1.893166e+00	7.204446e+00	
2.387819e+03	3.461977e+00	4.744629e+00	3.236355e+00	1.653646e+00	4.979989e+00	8.406430e+00	1.777249e+00	1.974217e+00	5.781799e+00	
2.736247e+03	2.525928e+00	1.569783e+00	7.952818e+00	2.421100e+00	4.650586e+00	8.247735e+00	5.339293e+00	7.149462e+00	3.672163e+00	
2.799337e+03	4.378544e+00	2.949830e+00	6.256701e+00	6.837610e+00	7.520137e+00	6.411685e+00	5.196452e+00	4.837413e+00	7.331092e+00	
3.122307e+03	6.703317e+00	8.375166e+00	4.456339e+00	2.459398e+00	4.614532e+00	4.376781e+00	2.693008e+00	1.787553e+00	8.121331e+00	
3.310078e+03	3.801099e+00	6.684542e+00	3.212547e+00	4.187706e-01	7.221874e+00	3.275815e+00	5.706017e+00	1.798967e+00	7.017180e+00	
4.032730e+03	9.492099e+00	5.786537e+00	7.949976e+00	8.477435e+00	3.060732e+00	4.929886e+00	5.494245e+00	2.133575e+00	3.015931e+00	
1.869518e+04	4.577280e+00	4.466915e+00	1.273040e+00	3.521961e+00	5.206200e+00	2.071966e+00	1.398682e+00	4.523960e+00	5.460498e+00	
2.168233e+04	3.776174e+00	4.724632e+00	7.948879e+00	7.733431e+00	7.729921e+00	4.969897e+00	4.206671e+00	5.016973e+00	4.428087e+00	
3.066866e+04	4.088381e+00	3.638811e+00	7.789144e+00	4.349054e-01	2.740934e-01	5.805078e+00	6.932605e+00	4.371719e+00	2.040715e+00	
1.423865e+05	8.899692e+00	8.120066e+00	1.176895e+00	1.698638e+00	5.885597e-01	2.771444e+00	3.133685e+00	7.637419e+00	6.321009e+00	
2.117702e+05	7.247109e-01	9.719132e+00	1.646482e+00	2.548481e+00	6.123746e+00	6.960550e+00	9.278549e+00	6.174703e+00	4.979292e+00	
