f	x(1)	x(2)	x(3)	x(4)	x(5)	x(6)	x(7)	
1.404814e-04	2.830360e-01	3.408131e-01	1.127993e+00	1.239897e+00	1.483094e+00	1.565281e+00	8.133096e-01	
1.408336e-04	3.344823e-01	2.941391e-01	1.252236e+00	1.283600e+00	1.583186e+00	1.622356e+00	8.492795e-01	
1.449069e-04	3.088485e-01	3.225321e-01	1.362720e+00	1.465767e+00	1.573543e+00	1.710466e+00	9.192466e-01	
1.485448e-04	3.258303e-01	3.024943e-01	1.259429e+00	1.121976e+00	1.668912e+00	1.512607e+00	7.965595e-01	
1.670785e-04	3.304320e-01	2.974247e-01	1.084727e+00	1.265628e+00	1.389503e+00	1.735081e+00	7.966635e-01	
1.753770e-04	3.894664e-01	2.431680e-01	1.311051e+00	1.137024e+00	1.611781e+00	1.451449e+00	8.504077e-01	
1.805407e-04	3.176353e-01	3.238184e-01	1.145386e+00	1.324869e+00	1.386234e+00	1.627090e+00	8.351923e-01	
1.810672e-04	3.592365e-01	2.550414e-01	1.182661e+00	1.329681e+00	1.437488e+00	1.656381e+00	8.959339e-01	
1.951216e-04	3.002520e-01	3.429014e-01	1.303754e+00	1.162243e+00	1.624113e+00	1.487454e+00	7.611328e-01	
2.025885e-04	3.120216e-01	3.360338e-01	1.618965e+00	9.740273e-01	1.817560e+00	1.077456e+00	8.881665e-01	
2.173747e-04	3.342440e-01	3.013428e-01	1.205305e+00	1.234922e+00	1.677998e+00	1.732772e+00	7.500729e-01	
2.254059e-04	3.323984e-01	2.915110e-01	1.348163e+00	1.348947e+00	1.754568e+00	1.806886e+00	8.375037e-01	
2.474621e-04	3.253622e-01	3.152763e-01	1.264885e+00	1.103158e+00	1.858541e+00	1.515114e+00	6.707810e-01	
2.511820e-04	2.955802e-01	3.164501e-01	1.131649e+00	9.079902e-01	1.772492e+00	1.398901e+00	7.249364e-01	
2.594291e-04	2.967843e-01	3.578903e-01	1.020462e+00	9.807433e-01	1.462380e+00	1.481279e+00	6.416730e-01	
2.818926e-04	2.685772e-01	3.878559e-01	1.108199e+00	1.261507e+00	1.520172e+00	1.624703e+00	7.093475e-01	
2.874027e-04	3.291721e-01	2.972803e-01	1.689311e+00	1.335098e+00	1.864175e+00	1.509142e+00	9.156252e-01	
3.073998e-04	3.737465e-01	2.795944e-01	1.191954e+00	1.653864e+00	1.320607e+00	1.941745e+00	8.883102e-01	
3.158882e-04	3.087069e-01	3.564627e-01	1.085263e+00	1.259725e+00	1.293743e+00	1.455066e+00	7.942830e-01	
3.227189e-04	4.224729e-01	2.357903e-01	1.271332e+00	1.228037e+00	1.664518e+00	1.471204e+00	8.178625e-01	
3.355474e-04	2.687965e-01	3.501901e-01	1.327931e+00	1.169532e+00	1.657678e+00	1.519810e+00	8.294732e-01	
3.598788e-04	2.576229e-01	3.778138e-01	1.191562e+00	8.654014e-01	1.730250e+00	1.296226e+00	6.774079e-01	
3.659703e-04	4.521940e-01	2.237701e-01	1.221586e+00	1.736392e+00	1.292632e+00	1.884067e+00	9.954940e-01	
4.096559e-04	2.615299e-01	3.885120e-01	1.128155e+00	9.864057e-01	1.700809e+00	1.504856e+00	6.190816e-01	
4.716442e-04	3.863604e-01	2.844677e-01	1.071180e+00	1.081066e+00	1.341129e+00	1.353153e+00	7.532912e-01	
5.247724e-04	3.787644e-01	2.729150e-01	1.231974e+00	1.217680e+00	1.867649e+00	1.645995e+00	6.731957e-01	
6.544821e-04	4.192810e-01	2.297305e-01	1.219666e+00	1.335059e+00	1.521675e+00	1.708683e+00	9.028040e-01	
6.626432e-04	3.117837e-01	3.703484e-01	1.006473e+00	1.003844e+00	1.298609e+00	1.375713e+00	6.536745e-01	
6.942569e-04	3.942063e-01	2.695869e-01	1.146256e+00	9.812484e-01	1.734158e+00	1.444838e+00	6.668320e-01	
6.984731e-04	3.132170e-01	3.337446e-01	9.493116e-01	1.085563e+00	1.332200e+00	1.507402e+00	7.237017e-01	
8.339435e-04	3.048520e-01	3.282026e-01	1.212829e+00	1.016455e+00	1.810358e+00	1.312589e+00	7.381087e-01	
8.542717e-04	4.395852e-01	2.217455e-01	1.399410e+00	1.303342e+00	1.571722e+00	1.568772e+00	8.549593e-01	
8.546936e-04	3.267191e-01	3.305436e-01	1.100813e+00	1.452203e+00	1.220641e+00	1.750875e+00	8.553534e-01	
